id,title,logo,stream_url,source,visible,weight
RTÉ Two,RTE2,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/RTE2.png,,xmltv,0,89
TV3,TV3,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/TV3.png,,xmltv,0,90
TG4,TG4,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/TG4.png,,xmltv,0,91
UTV,UTV,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/UTV.png,,xmltv,0,92
3e,3e,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/3e.png,,xmltv,0,93
truTV UK,TruTV,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/TruTV.png,,xmltv,1,18
E!,E!,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/E!.png,,xmltv,1,39
Pick,PICK TV,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/PICK%20TV.png,,xmltv,0,94
QUEST,QUEST,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/QUEST.png,,xmltv,0,95
Drama,Drama,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Drama.png,,xmltv,0,96
5*,5 Star,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/5%20Star.png,,xmltv,0,97
Good Food,Good Food,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Good%20Food.png,,xmltv,0,98
Food Network,Food Network,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Food%20Network.png,,xmltv,1,99
Food Network +1,Food Network+1,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Food%20Network+1.png,,xmltv,1,100
Really,Really,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Really.png,,xmltv,0,101
Home,Home,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Home.png,,xmltv,0,102
TrueEntertainment,True Ent,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/True%20Ent.png,,xmltv,0,103
Rai 1,Rai 1,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Rai%201.png,,xmltv,0,177
Rai 2,Rai 2,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Rai%202.png,,xmltv,0,178
Canale 5,Canale 5,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Canale%205.png,,xmltv,0,179
Italia 1,Italia 1,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Italia%201.png,,xmltv,0,180
Sky Movies Premiere,Sky Movies Premiere,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sky%20Movies%20Premiere.png,,xmltv,1,140
Sky Movies Showcase,Sky Movies Showcase,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sky%20Movies%20Showcase.png,,xmltv,1,141
Sky Movies Comedy,Sky Movies Comedy,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sky%20Movies%20Comedy.png,,xmltv,1,142
Sky Movies Action & Adventure,Sky Movies Action,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sky%20Movies%20Action.png,,xmltv,1,143
Sky Movies Greats,Sky Movies Greats,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sky%20Movies%20Greats.png,,xmltv,1,144
Sky Movies Disney,Sky Movies Disney,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sky%20Movies%20Disney.png,,xmltv,1,145
Sky Movies Family,Sky Movies Family,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sky%20Movies%20Family.png,,xmltv,1,146
Sky Movies Crime & Thriller,Sky Movies Crime,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sky%20Movies%20Crime.png,,xmltv,1,147
Sky Movies Sci-fi & Horror,Sky Movies Scifi,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sky%20Movies%20Scifi.png,,xmltv,1,148
Sky Movies Select,Sky Movies Select,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sky%20Movies%20Select.png,,xmltv,1,149
Film4,Film 4,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Film%204.png,,xmltv,1,150
True Movies 1,True Movies 1,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/True%20Movies%201.png,,xmltv,1,151
True Movies 2,True Movies 2,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/True%20Movies%202.png,,xmltv,1,152
SHOWTIME,Showtime,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Showtime.png,,xmltv,0,153
SHO BEYOND,Showtime Beyond,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Showtime%20Beyond.png,,xmltv,0,154
SHO NEXT,Showtime Next,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Showtime%20Next.png,,xmltv,0,155
SHOWTIME SHOWCASE,Showtime Showcase,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Showtime%20Showcase.png,,xmltv,0,156
SHO EXTREME,Showtime Extreme,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Showtime%20Extreme.png,,xmltv,0,157
SHOWTIME FAMILY ZONE,Showtime Familyzone,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Showtime%20Familyzone.png,,xmltv,0,158
SHO WOMEN,Showtime Women,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Showtime%20Women.png,,xmltv,0,159
TNT,TNT,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/TNT.png,,xmltv,1,16
HMM,Hallmark Channel,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Hallmark%20Channel.png,,xmltv,0,181
HBO,HBO,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/HBO.png,,xmltv,0,160
HBO2,HBO2,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/HBO2.png,,xmltv,0,161
HBOComedy,HBO Comedy,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/HBO%20Comedy.png,,xmltv,0,162
HBOFamily,HBO Family,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/HBO%20Family.png,,xmltv,0,163
HBOZONEHD,HBO Zone,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/HBO%20Zone.png,,xmltv,0,164
HBO Sig,HBO Signature,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/HBO%20Signature.png,,xmltv,0,165
Cinemax,Cinemax East,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Cinemax%20East.png,,xmltv,0,166
CinemaxW,Cinemax West,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Cinemax%20West.png,,xmltv,0,167
ActionMAX,ActionMAX East,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/ActionMAX%20East.png,,xmltv,0,168
5MAX,Five Star Max,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Five%20Star%20Max.png,,xmltv,0,182
CMAX,CINEMAX SDTV,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/CINEMAX%20SDTV.png,,xmltv,0,169
Starz [East],Starz East,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Starz%20East.png,,xmltv,0,170
StarzW,Starz West,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Starz%20West.png,,xmltv,0,171
StrzEdge,Starz Edge East,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Starz%20Edge%20East.png,,xmltv,0,172
StrzCinm,Starz Cinema East,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Starz%20Cinema%20East.png,,xmltv,0,173
StrzCmdy,Starz Comedy East,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Starz%20Comedy%20East.png,,xmltv,0,174
StarzBlck,Starz In Black East,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Starz%20In%20Black%20East.png,,xmltv,0,175
StarzKids,Starz Kids and Family East,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Starz%20Kids%20and%20Family%20East.png,,xmltv,0,176
Sky Sports 1,Sky Sports 1,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sky%20Sports%201.png,,xmltv,1,119
Sky Sports 2,Sky Sports 2,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sky%20Sports%202.png,,xmltv,1,120
Sky Sports 3,Sky Sports 3,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sky%20Sports%203.png,,xmltv,1,121
Sky Sports 4,Sky Sports 4,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sky%20Sports%204.png,,xmltv,1,122
Sky Sports 5,Sky Sports 5,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sky%20Sports%205.png,,xmltv,1,123
Sky Sports F1,Sky Sports F1,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sky%20Sports%20F1.png,,xmltv,1,124
Sky Sports News,Sky Sports News,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sky%20Sports%20News.png,,xmltv,1,125
British Eurosport,Eurosport,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Eurosport.png,,xmltv,0,138
British Eurosport 2,Eurosport 2,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Eurosport%202.png,,xmltv,0,139
BT Sport 1,BT Sport 1,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/BT%20Sport%201.png,,xmltv,1,115
BT Sport 2,BT Sport 2,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/BT%20Sport%202.png,,xmltv,1,116
BT Sport Europe,BT Sport 3,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/BT%20Sport%203.png,,xmltv,1,117
at the races,At The Races,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/At%20The%20Races.png,,xmltv,0,183
Racing UK,Racing UK,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Racing%20UK.png,,xmltv,0,184
BoxNation,BoxNation,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/BoxNation.png,,xmltv,1,136
1441297460beINSports,BeinSports,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/BeinSports.png,,xmltv,0,185
1HD,Bein Sports 1,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Bein%20Sports%201.png,,xmltv,0,186
2HD,Bein Sports 2,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Bein%20Sports%202.png,,xmltv,0,187
3HD,Bein Sports 3,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Bein%20Sports%203.png,,xmltv,0,188
4HD,Bein Sports 4,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Bein%20Sports%204.png,,xmltv,0,189
5HD,Bein Sports 5,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Bein%20Sports%205.png,,xmltv,0,190
6HD,Bein Sports 6,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Bein%20Sports%206.png,,xmltv,0,191
7HD,Bein Sports 7,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Bein%20Sports%207.png,,xmltv,0,192
8HD,Bein Sports 8,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Bein%20Sports%208.png,,xmltv,0,193
9HD,Bein Sports 9,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Bein%20Sports%209.png,,xmltv,0,194
10HD,Bein Sports 10,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Bein%20Sports%2010.png,,xmltv,0,195
11HD,Bein Sports 11,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Bein%20Sports%2011.png,,xmltv,0,196
12HD,Bein Sports 12,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Bein%20Sports%2012.png,,xmltv,0,197
ESPN,BT Sport ESPN,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/BT%20Sport%20ESPN.png,,xmltv,1,118
Setanta Sports 1,Setanta Sports 1,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Setanta%20Sports%201.png,,xmltv,0,198
Setanta Ireland,Setanta Sports Ireland,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Setanta%20Sports%20Ireland.png,,xmltv,0,199
Premier Sports,Premier Sports,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Premier%20Sports.png,,xmltv,0,200
SN360,Sportsnet 360,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sportsnet%20360.png,,xmltv,1,201
SNO,Sportsnet Ontario,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sportsnet%20Ontario.png,,xmltv,1,202
SNE,Sportsnet East,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sportsnet%20East.png,,xmltv,1,203
SNP,Sportsnet Pacific,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sportsnet%20Pacific.png,,xmltv,1,204
SNW,Sportsnet West,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sportsnet%20West.png,,xmltv,1,205
SN1,Sportsnet One,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sportsnet%20One.png,,xmltv,1,206
